Source;Target;Type
'04928';CDG;Undirected
'04928';UMB;Undirected
'04928';SRE;Undirected
'04928';MB;Undirected
'04928';BE;Undirected
'04928';LKO;Undirected
'04928';SLN;Undirected
'04928';BSB;Undirected
'04941';LKO;Undirected
'04941';SPN;Undirected
'04941';MB;Undirected
'04941';SRE;Undirected
'04941';JUD;Undirected
'04941';UMB;Undirected
'04941';LDH;Undirected
'04941';JRC;Undirected
'04941';PTKC;Undirected
'04941';JAT;Undirected
'04941';UHP;Undirected
'04941';SVDK;Undirected
'04942';SVDK;Undirected
'04942';UHP;Undirected
'04942';JAT;Undirected
'04942';PTKC;Undirected
'04942';JRC;Undirected
'04942';LDH;Undirected
'04942';UMB;Undirected
'04942';JUD;Undirected
'04942';SRE;Undirected
'04942';MB;Undirected
'04942';SPN;Undirected
'04942';LKO;Undirected
'05010';GKP;Undirected
'05010';SGG;Undirected
'05010';CC;Undirected
'05010';JAJ;Undirected
'05010';DEOS;Undirected
'05010';STL;Undirected
'05010';BTT;Undirected
'05010';JSME;Undirected
'05010';MW;Undirected
'05010';SV;Undirected
'05010';EKMA;Undirected
'05010';CPR;Undirected
'05010';DGA;Undirected
'05010';SEE;Undirected
'05010';HJP;Undirected
'05010';DES;Undirected
'05010';MNO;Undirected
'05010';SPP;Undirected
'05010';MOG;Undirected
'05010';VPDA;Undirected
'05010';BCA;Undirected
'05010';BJU;Undirected
'05010';KIUL;Undirected
'05010';AHA;Undirected
'05010';JMP;Undirected
'05010';SGG;Undirected
'05027';GKP;Undirected
'05027';KLD;Undirected
'05027';BST;Undirected
'05027';GD;Undirected
'05027';LKO;Undirected
'05027';MB;Undirected
'05027';ANVT;Undirected
'05028';ANVT;Undirected
'05028';MB;Undirected
'05028';LKO;Undirected
'05028';GD;Undirected
'05028';BST;Undirected
'05028';KLD;Undirected
'05028';GKP;Undirected
'05065';CPR;Undirected
'05065';SV;Undirected
'05065';THE;Undirected
'05065';TOI;Undirected
'05065';POU;Undirected
'05065';RKL;Undirected
'05065';CPJ;Undirected
'05065';GKP;Undirected
'05065';BST;Undirected
'05065';MUR;Undirected
'05065';GD;Undirected
'05065';BBK;Undirected
'05065';BNZ;Undirected
'05065';LJN;Undirected
'05066';LJN;Undirected
'05066';BNZ;Undirected
'05066';BBK;Undirected
'05066';GD;Undirected
'05066';MUR;Undirected
'05066';BST;Undirected
'05066';GKP;Undirected
'05066';CPJ;Undirected
'05066';RKL;Undirected
'05066';POU;Undirected
'05066';TOI;Undirected
'05066';THE;Undirected
'05066';SV;Undirected
'05066';CPR;Undirected
'05115';CPR;Undirected
'05115';SV;Undirected
'05115';THE;Undirected
'05115';TOI;Undirected
'05115';POU;Undirected
'05115';CPJ;Undirected
'05115';GKP;Undirected
'05115';KLD;Undirected
'05115';BST;Undirected
'05115';GD;Undirected
'05115';SCC;Undirected
'05115';BE;Undirected
'05115';MB;Undirected
'05115';SRE;Undirected
'05115';JUD;Undirected
'05115';UMB;Undirected
'05115';LDH;Undirected
'05115';JRC;Undirected
'05115';PTKC;Undirected
'05115';JAT;Undirected
'05115';UHP;Undirected
'05115';SVDK;Undirected
'05116';SVDK;Undirected
'05116';UHP;Undirected
'05116';JAT;Undirected
'05116';PTKC;Undirected
'05116';JRC;Undirected
'05116';LDH;Undirected
'05116';UMB;Undirected
'05116';JUD;Undirected
'05116';SRE;Undirected
'05116';MB;Undirected
'05116';BE;Undirected
'05116';SCC;Undirected
'05116';GD;Undirected
'05116';BST;Undirected
'05116';KLD;Undirected
'05116';GKP;Undirected
'05116';CPJ;Undirected
'05116';POU;Undirected
'05116';TOI;Undirected
'05116';THE;Undirected
'05116';SV;Undirected
'05116';CPR;Undirected
'05817';APDJ;Undirected
'05817';APD;Undirected
'05817';NCB;Undirected
'05817';TFGN;Undirected
'05817';AGMN;Undirected
'05817';GKJ;Undirected
'05817';GUP;Undirected
'05817';DBB;Undirected
'05818';DBB;Undirected
'05818';GUP;Undirected
'05818';GKJ;Undirected
'05818';AGMN;Undirected
'05818';TFGN;Undirected
'05818';NCB;Undirected
'05818';APD;Undirected
'05818';APDJ;Undirected
'05967';RNY;Undirected
'05967';CGS;Undirected
'05967';KYQ;Undirected
'05967';GHY;Undirected
'05967';JID;Undirected
'05967';CPK;Undirected
'05967';HJI;Undirected
'05967';LKA;Undirected
'05967';LMG;Undirected
'05967';DPU;Undirected
'05967';DMV;Undirected
'05967';BXJ;Undirected
'05967';SZR;Undirected
'05967';FKG;Undirected
'05967';TTB;Undirected
'05967';MXN;Undirected
'05967';AGI;Undirected
'05967';NMT;Undirected
'05967';SLGR;Undirected
'05967';BOJ;Undirected
'05967';SPK;Undirected
'05967';BFD;Undirected
'05967';NAM;Undirected
'05967';NHK;Undirected
'05967';DJG;Undirected
'05967';NTSK;Undirected
'05967';CHB;Undirected
'05967';DBRG;Undirected
'05968';DBRG;Undirected
'05968';CHB;Undirected
'05968';NTSK;Undirected
'05968';DJG;Undirected
'05968';NHK;Undirected
'05968';NAM;Undirected
'05968';BFD;Undirected
'05968';SPK;Undirected
'05968';BOJ;Undirected
